Data,BG000,GM000,GM001,PN000,PS001,PS000,BD000,BD002,BD003,BD005,BD007,BD009,BD010,JT000,PP010,GV001,GV002,VD000,LB000,LB001,LB003,IP003,IP010,IP006,AR000,PD000,CP100,CP004,CP005,CP008,LM002,VR000,UR000,BT000,BT001,FL000,FL004
2005-09-12,23,30,,800,23,23,130,23,80,23,23,130,800,,23,23,,30,1300,,23,3000,30,1300,800,800,130,130,80,230,30,130,300,30000,,,500
2005-09-15,23,23,,23,23,2400,23,30,23,23,23,9000,50000,,170,300,,800,170,,800,500,800,800,230,230,300,130,50,80,80,50,9000,1600000,,,13000
2005-09-19,50,23,,30,3000,50,23,30,23,23,23,500,5000,,130,130,,50,50,,130,230,50,130,80,80,230,50,50,80,30,300,300,130000,,,300
2005-09-22,23,23,,23,500,23,30,23,23,23,23,30,30,,2400,3000,,800,3000,,2400,800,230,800,500,230,50,230,50,130,80,50,500,80000,,,230
2005-09-26,50,230,,30,23,30,230,50,50,23,130,5000,30000,,300,500,,230,300,,2400,5000,9000,2400,2400,300,9000,5000,2400,3000,500,30,30000,1600000,,,5000
2005-09-29,23,23,,23,23,1100,23,23,23,23,23,9000,17000,,800,1700,,1700,1300,,2400,5000,5000,5000,300,800,300,80,50,30,50,16000,30,240000,,,24000
2005-10-03,230,50,,30,1100,23,23,23,80,30,23,80,700,,230,230,,300,230,,300,30,300,230,130,50,130,80,300,80,80,300,2300,130000,,,5000
2005-10-06,23,23,,30,23,80,23,23,23,50,23,23,50,,1100,1700,,500,300,,50,300,130,170,50,50,50,80,130,30,23,23,300,240000,,,500
2005-10-10,23,23,,23,30,23,23,23,23,23,23,23,500,,500,300,,1300,50,,230,300,300,80,230,130,50,30,23,23,23,50,170,170000,,,80
2005-10-13,23,23,,,23,23,23,23,23,23,23,2400,24000,,2200,1300,,800,300,,800,230,50,300,23,23,,50,300,300,300,50,1300,300000,,,3000
2005-10-17,500,23,,30,23,23,23,23,50,80,23,23,30,,16000,9000,,16000,9000,,9000,2400,5000,9000,2400,5000,2400,300,800,500,230,230,2300,500000,,,5000
2005-10-20,50,23,,50,23,500,800,130,130,230,30,30,23,,300,300,,230,300,,300,2400,3000,2400,2400,3000,300,300,300,300,500,500,5000,300000,,,2700
2005-10-24,500,23,,23,30,23,23,30,30,30,23,3000,2300,,9000,300,,230,16000,,170,130,220,220,80,50,50,80,50,500,230,2400,5000,160000,,,5000
2005-10-27,50,23,,50,23,50,23,500,23,500,800,2200,17000,,1100,800,,500,1700,,300,70,230,210,30,50,170,70,80,70,130,230,700,50000,,,700
2005-11-03,800,23,,50,500,30,23,50,50,30,500,300,3000,,5000,5000,,5000,5000,,3000,500,1300,800,300,300,9000,9000,800,1300,800,230,3000,300000,,,1300
2005-11-07,500,230,,23,30,23,30,23,23,23,50,23,30,,3000,500,,,130,,80,230,220,230,170,30,300,80,30,23,80,50,170,1600000,,,500
2005-11-10,50,300,,230,30,500,130,23,23,23,50,800,24000,,800,5000,,800,2400,,300,80,50,80,50,3000,130,230,130,130,500,80,1300,1600000,,,300
2005-11-17,5000,30,,50,,110,30,30,30,23,30,80,50,,80,5000,,300,30,,30,30,50,50,30,110,50,50,50,50,16000,23,5000,300000,,,8000
2005-11-21,800,80,,23,50,23,23,23,23,23,23,23,50,,16000,9000,,9000,1300,,800,500,300,170,800,220,300,300,170,130,16000,30,500,23000,,,5000
2005-11-24,16000,23,,23,230,23,23,23,23,23,23,500,500,,3000,500,,80,300,,130,110,80,50,30,80,700,50,1100,30,50,110,500,1600000,,,5000
2005-11-28,50,50,,50,23,23,23,23,23,23,2400,3000,24000,,500,1700,,2400,23,,23,30,30,23,23,50,50,50,80,30,170,170,300,23000,,,90000
2005-12-01,500,23,,23,2400,23,30,23,23,800,700,230,300,,3000,5000,,800,1300,,2400,800,500,500,23,23,30,500,300,500,16000,30,800,300000,,,500
2005-12-05,500,23,,50,2400,23,80,80,50,300,2400,2400,500,,1700,1300,,2400,230,,170,80,23,23,30,80,80,50,300,300,230,500,230,300000,,,3000
2005-12-08,130,30,,30,130,500,50,23,23,23,500,3000,8000,,1300,2400,,80,2400,,50,50,50,30,23,23,30,50,110,80,130,130,1300,300000,,,800
2005-12-12,300,50,,300,13000,23,23,23,30,30,2400,1300,90000,,300,1700,,500,220,,230,240,300,500,300,3000,2400,300,1300,800,300,500,8000,130000,,,24000
2005-12-15,230,30,,30,3000,30,30,30,50,30,230,1300,1300,,2400,1300,,500,500,,800,80,50,50,30,30,80,130,130,130,50,80,300,130000,,,5000
2005-12-19,230,23,,23,30,30,23,500,800,500,23,23,300,,2400,1100,,50,50,,1300,1300,30,80,50,80,300,500,500,500,5000,170,30000,300000,,,500
2005-12-21,1100,23,,23,80,23,23,23,23,23,23,30,140,,230,5000,,300,300,,230,2800,1700,900,1300,230,80,230,300,30,130,23,800,1600000,,,1700
2005-12-26,500,30,,23,230,50,23,23,23,23,23,23,3000,,230,300,,1700,1700,,2400,500,500,300,130,80,230,230,80,130,500,80,5000,130000,,,5000
2005-12-28,230,23,,23,9000,50,23,23,80,50,230,80,1300,,500,800,,16000,300,,800,800,23,23,23,30,23,30,30,30,130,130,5000,300000,,,5000
2006-01-03,5000,23,,50,230,300,23,23,30,23,800,300,700,,3000,16000,,230,16000,,5000,2800,130,80,50,23,1300,800,800,1300,230,800,50000,130000,,,160000
2006-01-05,30,23,,23,1300,30,23,23,80,50,30,50,8000,,800,230,,2400,1300,,2400,300,1300,3000,300,300,1700,700,3000,1300,16000,500,90000,1600000,,,13000
2006-01-09,1300,300,,30,30,23,23,130,130,130,800,2400,1300,,500,500,,30,230,,230,300,30,30,23,23,230,130,300,300,2400,300,1300,300000,,,500
